,Rented Bike Count,Temperature(Â°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(Â°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Time,FunctioningDay0,FunctioningDay1,Holiday0,Holiday1,Season0,Season1,Season2,Season3
0,254,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,2017-12-01 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1,204,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,2017-12-01 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2,173,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,2017-12-01 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3,107,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,2017-12-01 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
4,78,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,2017-12-01 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5,100,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,2017-12-01 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
6,181,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,2017-12-01 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
7,460,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,2017-12-01 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
8,930,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,2017-12-01 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
9,490,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,2017-12-01 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
10,339,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,2017-12-01 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
11,360,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,2017-12-01 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
12,449,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,2017-12-01 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
13,451,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,2017-12-01 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
14,447,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,2017-12-01 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
15,463,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,2017-12-01 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
16,484,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,2017-12-01 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
17,555,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,2017-12-01 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
18,862,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,2017-12-01 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
19,600,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,2017-12-01 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
20,426,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,2017-12-01 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
21,405,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,2017-12-01 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
22,398,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,2017-12-01 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
23,323,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,2017-12-01 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
24,328,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,2017-12-02 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
25,308,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,2017-12-02 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
26,262,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,2017-12-02 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
27,167,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,2017-12-02 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
28,89,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,2017-12-02 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
29,79,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,2017-12-02 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
30,70,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,2017-12-02 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
31,146,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,2017-12-02 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
32,219,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,2017-12-02 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
33,328,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,2017-12-02 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
